School,Conf,,,,,,,,,,,,
UAB,American,,,,,,,,,,,,
UCF,Big 12,,,,,,,,,,,,
UCLA,Big Ten,,,,,,,,,,,,
ULM,Sun Belt,,,,,,,,,,,,
Umass,Ind,,,,,,,,,,,,
UNLV,MWC,,,,,,,,,,,,
USC,Big Ten,,,,,,,,,,,,
Utah,Big 12,,,,,,,,,,,,
Utah State,MWC,,,,,,,,,,,,
UTEP,CUSA,,,,,,,,,,,,
UTSA,American,,,,,,,,,,,,
Vanderbilt,SEC,,,,,,,,,,,,
Virginia,ACC,,,,,,,,,,,,
Virginia Tech,ACC,,,,,,,,,,,,
Wake Forest,ACC,,,,,,,,,,,,
Washington,Big Ten,,,,,,,,,,,,
Washington State,Ind,,,,,,,,,,,,
West Virginia,Big 12,,,,,,,,,,,,
Western Kentucky,CUSA,,,,,,,,,,,,
Western Michigan,MAC,,,,,,,,,,,,
Wisconsin,Big Ten,,,,,,,,,,,,
Wyoming,MWC,,,,,,,,,,,,
